,y,S[N],M[Nm],Sf[N],Mf[Nm]
0,625,31543.03206,63119.1057,37851.63847,75742.92683
1,1000,29266.44978,51473.54213,35119.73973,61768.25056
2,1500,24835.6276,37706.29925,29802.75311,45247.5591
3,2000,20171.0065,26220.77139,24205.2078,31464.92567
4,2500,15628.90266,17056.58234,18754.68319,20467.89881
5,3000,11412.45258,10104.74214,13694.9431,12125.69056
6,3500,7668.186404,5162.339415,9201.823685,6194.807298
7,4000,4363.833118,2007.928368,5236.599742,2409.514041
8,4500,1613.473388,405.885896,1936.168066,487.0630752
