y[mm],cla,clb,cd,cl,cz,C[mm],C*cz[mm],w[kg/mm],sa[N],si[N],S[N],M[N*m],Sf[N],Mf[N*m]
625,0.9512499999999999,0.045875,0.1444,1.377625,1.36989926566,1997.5,2736.37378316,1.176,37351.523274811036,5234.559247509624,32116.964027301412,61676.335239909466,38540.356832761696,74011.60228789136
1000,1.021,0.044,0.1303,1.4734,1.45909324786,1918.0,2798.5408494,0.4312,33165.052513970135,3700.9870496982217,29464.065464271913,50194.329149752186,35356.87855712629,60233.194979702625
1500,1.0579999999999998,0.024499999999999997,0.12040000000000001,1.5057,1.48788565461,1812.0,2696.04880615,0.23520000000000002,27630.46726434008,2640.3781628299876,24990.089101510093,36764.30187270457,29988.106921812112,44117.16224724549
2000,1.095,0.0049999999999999975,0.1105,1.538,1.51667806135,1706.0,2587.45277266,0.15680000000000002,22271.403522971315,2062.1991160653474,20209.204406905967,25255.175537767103,24251.04528828716,30306.210645320523
2500,1.092,-0.013999999999999999,0.1085,1.5148,1.49371627608,1600.0,2389.94604174,0.11760000000000001,17240.586854376113,1619.6834309927067,15620.903423383406,16254.30017343353,18745.084108060088,19505.16020812024
3000,1.089,-0.033,0.1065,1.4916,1.47075449082,1494.0,2197.30720928,0.15680000000000002,12621.716138033238,1158.4252028492572,11463.29093518398,9585.911120879893,13755.94912222078,11503.093345055873
3500,1.041,-0.0475,0.1114,1.4099,1.39288369062,1388.0,1933.32256258,0.11760000000000001,8445.498835507351,751.1466905463724,7694.352144960979,4797.606943339793,9233.222573953175,5757.128332007753
4000,0.993,-0.062,0.1163,1.3282,1.31501289042,1282.0,1685.84652552,0.07840000000000001,4796.375264375122,411.5937716442605,4384.781492730862,1792.1868567214037,5261.737791277035,2150.6242280656843
4500,0.833,-0.067,0.1314,1.0992,1.09708781884,1176.0,1290.17527495,0.07840000000000001,1798.827641985541,172.00630071231424,1626.8213412732268,324.96000594643704,1952.1856095278724,389.95200713572444
