ç∂í[STA[mm],âEí[STA[mm],ï™äÑêî,ä‘äude[mm],webå˙Ç≥[mm],STAç≈è¨Ç…Ç®ÇØÇÈwebçÇÇ≥[mm],q_max[N/m],F_scr[MPa],F_su[MPa],f_s[MPa],M.S.
625,1000,2,187.5,2.03,320.0,100365.512585,50.2341593047,303.3693998181163,49.4411392046,0.0160396809787
1000,1500,4,125.0,1.6,303.7142857142857,97012.4450846,64.9846143372,303.3693998181163,60.6327781779,0.0717736559351
1500,2000,3,166.666666667,1.8,282.0,88617.3372394,50.0841959628,303.3693998181163,49.2318540219,0.0173128141909
2000,2500,5,100.0,1.27,260.2857142857143,77642.3879519,62.9815919093,289.57988164456555,61.1357385448,0.0301927057462
2500,3000,3,166.666666667,1.6,238.57142857142856,65476.8406968,41.7747549578,303.3693998181163,40.9230254355,0.0208129656404
3000,3500,4,125.0,1.27,216.85714285714286,52861.0253928,44.0728326183,289.57988164456555,41.62285464,0.0588613635332
3500,4000,7,71.4285714286,0.81,195.14285714285717,39429.3301718,49.6251764274,289.57988164456555,48.6781853973,0.0194541152739
4000,4500,2,250.0,1.6,173.42857142857144,25282.9245874,18.4883138686,303.3693998181163,15.8018278671,0.170011091376
4500,5000,5,100.0,0.64,151.71428571428572,10722.9278615,17.9947676185,289.57988164456555,16.7545747836,0.074021146521
