ç∂í[STA[mm],âEí[STA[mm],p[mm],D[mm],fs[MPa],fsj[MPa],Fsu[MPa],fscr[MPa],M.S.
625,1000,23.8125,3.96875,80.1694128,96.20329536,303.3693998,107.9200947,0.121792079
1000,1500,23.8125,3.96875,76.80103022,92.16123627,303.3693998,135.3756374,0.468899973
1500,2000,23.8125,3.96875,71.92079139,86.30494966,303.3693998,97.9907431,0.135401196
2000,2500,23.8125,3.96875,60.89431565,73.07317878,303.3693998,99.96458261,0.368006487
2500,3000,23.8125,3.96875,51.5255635,61.8306762,303.3693998,101.9384221,0.648670666
3000,3500,23.8125,3.96875,42.65295553,51.18354663,303.3693998,69.95253984,0.366699739
3500,4000,23.8125,3.96875,31.54862571,37.85835086,303.3693998,46.76753006,0.2353293
4000,4500,17.12575758,3.175,19.7857579,24.2887235,303.3693998,51.0310234,1.1010171
4500,5000,19.05,3.175,8.417317596,10.10078112,303.3693998,17.69064178,0.75141324
