ç∂í[STA[mm],âEí[STA[mm],ï™äÑêî,ä‘äude[mm],webå˙Ç≥[mm],STAç≈è¨Ç…Ç®ÇØÇÈwebçÇÇ≥[mm],q_max[N/m],F_scr[MPa],F_su[MPa],f_s[MPa],M.S.
625,1000,4,93.75,1.6,320,128271.0605,107.9200947,303.3693998,80.1694128,0.346150494
1000,1500,6,83.33333333,1.6,303.7142857,122881.6484,135.3756374,303.3693998,76.80103022,0.762679967
1500,2000,5,100,1.6,282,115073.2662,97.9907431,303.3693998,71.92079139,0.362481436
2000,2500,5,100,1.6,260.2857143,97430.90504,99.96458261,303.3693998,60.89431565,0.641607785
2500,3000,5,100,1.6,238.5714286,82440.90159,101.9384221,303.3693998,51.5255635,0.9784048
3000,3500,4,125,1.6,216.8571429,68244.72884,69.95253984,303.3693998,42.65295553,0.640039687
3500,4000,3,166.6666667,1.6,195.1428571,50477.80114,46.76753006,303.3693998,31.54862571,0.48239516
4000,4500,3,166.6666667,1.6,173.4285714,31657.21265,51.0310234,303.3693998,19.7857579,1.579179612
4500,5000,2,250,1.6,151.7142857,13467.70815,17.69064178,303.3693998,8.417317596,1.101695888
