ç∂í[STA[mm],âEí[STA[mm],b_bottom_s1[mm],ts[mm],Fcc[MPa],Fir[MPa],p[mm]
625,1000,20,1.8,303.557092,421.3882839,23.8125
1000,1500,15,1.8,380.3873683,421.3882839,23.8125
1500,2000,15,1.8,380.3873683,421.3882839,23.8125
2000,2500,15,1.8,380.3873683,421.3882839,23.8125
2500,3000,15,1.8,380.3873683,421.3882839,23.8125
3000,3500,15,1.8,380.3873683,421.3882839,23.8125
3500,4000,15,1.8,380.3873683,421.3882839,23.8125
4000,4500,12,1.8,453.1371852,453.1824164,17.12575758
4500,5000,13,1.8,425.5659042,442.1264264,19.05
