ç∂í[STA[mm],âEí[STA[mm],web_thickness[mm],momentum[N*m],tf[mm],b_bottom_f1[mm],b_height_f2[mm],P[N],A[mm^2],fc[MPa],sqrt(Fcy/E)(b/t),Fcc[MPa],M.S.
625,1000,1.6,74012,9,20,20,246331.0256,436.8,563.9446558,0.180560742,647.9010343,0.148873436
1000,1500,1.6,60233,8,15,17,209337.057,332.8,629.0175993,0.152348126,647.9010343,0.030020519
1500,2000,1.6,44117,8,15,15,169290.6258,316.8,534.3769753,0.152348126,647.9010343,0.212441898
2000,2500,1.6,30306,5,15,15,121757.4949,226.8,536.8496247,0.243757001,647.9010343,0.206857571
2500,3000,1.6,19505,4,15,15,85783.39747,196.8,435.8912473,0.304696252,647.9010343,0.486382299
3000,3500,1.6,11503,2.5,25,25,57067.3972,201.8,282.7918593,0.812523338,342.0826526,0.209662306
3500,4000,1.6,5757,2,20,20,31474.13638,156.8,200.7279106,0.812523338,342.0826526,0.704210698
4000,4500,1.6,2151,2,10,10,12940.83322,116.8,110.794805,0.406261669,589.1418117,4.31741368
4500,5000,1.6,389,1.6,10,10,2683.882414,108.8,24.66803689,0.507827086,494.5568596,19.04848873
