ç∂í[STA[mm],âEí[STA[mm],web_thickness[mm],momentum[N*m],tf[mm],b_bottom_f1[mm],b_height_f2[mm],P[N],A[mm^2],ft[MPa],Ftu[MPa],M.S.
625,1000,1.6,74012,9,24,34,246331.0256,598.8,411.3744583,413.6855452,0.005617964
1000,1500,1.6,60233,8,21,33,209337.057,508.8,411.4328951,413.6855452,0.005475134
1500,2000,1.6,44117,8,27,15,169290.6258,412.8,410.1032601,413.6855452,0.008735081
2000,2500,1.6,30306,5,15,33,121757.4949,316.8,384.3355268,393.0012679,0.022547333
2500,3000,1.6,19505,4,15,21,85783.39747,220.8,388.5117639,393.0012679,0.011555645
3000,3500,1.6,11503,2.5,25,25,57067.3972,201.8,282.7918593,393.0012679,0.38971917
3500,4000,1.6,5757,2,20,20,31474.13638,156.8,200.7279106,393.0012679,0.95788053
4000,4500,1.6,2151,2,10,10,12940.83322,116.8,110.794805,393.0012679,2.547109163
4500,5000,1.6,389,1.6,10,10,2683.882414,108.8,24.66803689,393.0012679,14.93159884
