左端STA[mm],右端STA[mm],web_thickness[mm],スティフナー間隔de[mm],he[mm],スティフナー厚さts[mm],bs1_bottom[mm],bs2_height[mm],I[mm^4],I_U[mm^4],M.S.
625,1000,1.6,93.75,300.4574832,1.8,20,21,5591.9808,5108.201774,0.094706327
1000,1500,1.6,83.33333333,287.7321429,1.8,15,21,5582.2608,5534.626353,0.008606624
1500,2000,1.6,100,260.5991903,1.8,15,17,2973.4608,2940.065159,0.01135881
2000,2500,1.6,100,248.9045954,1.8,15,17,2973.4608,2526.447468,0.176933555
2500,3000,1.6,100,227.375,1.8,15,15,2050.6608,1906.89408,0.075393134
3000,3500,1.6,125,201.5686813,1.8,15,11,824.2608,662.637808,0.243908497
3500,4000,1.6,166.6666667,182.9120879,1.8,15,10,625.6608,147.94798,3.228924247
4000,4500,1.6,166.6666667,166.2180451,1.8,12,6,149.4288,67.89965051,1.200730031
4500,5000,1.6,250,144.9392857,1.8,13,7,227.5728,34.4185185,5.611928983
