ç∂í[STA[mm],âEí[STA[mm],q_max[N/m],N,D[mm],p[mm],Ps[N],P_allow[N],M.S.
625,1000,128271.0605,2,3.175,12.7,814.521234,1637.637186,1.010551864
1000,1500,122881.6484,2,3.96875,15.875,975.3730838,2558.808102,1.623414717
1500,2000,115073.2662,2,3.96875,15.875,913.3940506,2558.808102,1.801428475
2000,2500,97430.90504,2,3.96875,15.875,773.3578088,2558.808102,2.308698863
2500,3000,82440.90159,2,3.96875,15.875,654.3746564,2558.808102,2.910310519
3000,3500,68244.72884,2,3.96875,23.8125,812.5388028,2558.808102,2.149151885
3500,4000,50477.80114,2,3.96875,23.8125,601.0013198,2558.808102,3.257574847
4000,4500,31657.21265,2,3.175,19.05,301.5349505,1637.637186,4.431002884
4500,5000,13467.70815,2,3.175,19.05,128.2799202,1637.637186,11.76612258
