ç∂í[STA,âEí[STA,p/D,D[mm],p[mm],$f_s$[MPa],$f_{sj}$[MPa],$F_{su}$[MPa],$f_{scr}$[MPa],M.S.
625,1000,6,3.96875,23.8,80.2,96.2,303,108,0.12
1000,1500,6,3.96875,23.8,76.8,92.2,303,135,0.47
1500,2000,6,3.96875,23.8,71.9,86.3,303,98,0.14
2000,2500,6,3.96875,23.8,60.9,73.1,303,100,0.37
2500,3000,6,3.96875,23.8,51.5,61.8,303,102,0.65
3000,3500,6,3.96875,23.8,42.7,51.2,303,70,0.37
3500,4000,6,3.96875,23.8,31.5,37.9,303,47,0.24
4000,4500,5.4,3.175,17.1,19.8,24.3,303,51,1.10
4500,5000,6,3.175,19.1,8.4,10.1,303,18,0.75
