左端STA[mm],右端STA[mm],web_thickness[mm],スティフナー間隔de[mm],he[mm],スティフナー厚さts[mm],bs1_bottom[mm],bs2_height[mm],I[mm^4],I_U[mm^4],M.S.
625,1000,1.6,94,300,1.8,20,21,5592,5108,0.09
1000,1500,1.6,83,288,1.8,15,21,5582,5535,0.01
1500,2000,1.6,100,261,1.8,15,17,2973,2940,0.01
2000,2500,1.6,100,249,1.8,15,17,2973,2526,0.18
2500,3000,1.6,100,227,1.8,15,15,2051,1907,0.08
3000,3500,1.6,125,202,1.8,15,11,824,663,0.24
3500,4000,1.6,167,183,1.8,15,10,626,148,3.23
4000,4500,1.6,167,166,1.8,12,6,149,68,1.20
4500,5000,1.6,250,145,1.8,13,7,228,34,5.61
