ç∂í[STA[mm],âEí[STA[mm],D[mm],p[mm],fs[MPa],fsj[MPa],Fsu[MPa],fscr[MPa],M.S.
625,1000,3.175,12.7,80.1694128,106.8925504,303.3693998,107.9200947,0.009612871
1000,1500,3.96875,15.875,76.80103022,102.4013736,303.3693998,135.3756374,0.322009975
1500,2000,3.96875,15.875,71.92079139,95.89438852,303.3693998,97.9907431,0.021861077
2000,2500,3.96875,15.875,60.89431565,81.19242087,303.3693998,99.96458261,0.231205838
2500,3000,3.96875,15.875,51.5255635,68.70075133,303.3693998,101.9384221,0.4838036
3000,3500,3.96875,23.8125,42.65295553,51.18354663,303.3693998,69.95253984,0.366699739
3500,4000,3.96875,23.8125,31.54862571,37.85835086,303.3693998,46.76753006,0.2353293
4000,4500,3.175,19.05,19.7857579,23.74290949,303.3693998,51.0310234,1.149316344
4500,5000,3.175,19.05,8.417317596,10.10078112,303.3693998,17.69064178,0.75141324
